fecha_inicio,mes_num,mes_nombre,propiedad,noches,ingreso_bruto,ingreso_neto,tarifa_servicio,tarifa_limpeza,ocupacion_pct
2026-01-16,1,January,Casa Zoe,8.0,8744.5,7172.24,1572.26,850.0,26.7
2026-01-15,1,January,Casa de Ineva,3.0,3895.25,3194.89,700.36,850.0,10.0
2026-01-15,1,January,Casa de las Flores,1.0,1760.0,1443.55,316.45,750.0,3.3
2026-01-14,1,January,Casa 5min CAS,10.0,9343.0,7663.12,1679.88,850.0,33.3
2026-01-14,1,January,Casa de Rigo,2.0,2271.14,1862.79,408.35,650.0,6.7
2026-01-13,1,January,Casa 3min USA,3.0,5100.0,4183.09,916.91,900.0,10.0
2026-01-13,1,January,Casa Super Comoda,3.0,4150.0,3403.81,746.19,850.0,10.0
2026-01-12,1,January,Casa del Parque,4.0,4850.0,3977.97,872.03,850.0,13.3
2026-01-12,1,January,Casa Zoe,4.0,4850.0,3977.97,872.03,850.0,13.3
2026-01-12,1,January,Casa 2 rec,4.0,4450.0,3649.89,800.11,850.0,13.3
2026-01-10,1,January,Casa 3min USA,1.0,2150.0,1763.36,386.64,750.0,3.3
2026-01-10,1,January,Casa de las Flores,1.0,1750.0,1435.42,314.58,750.0,3.3
2026-01-10,1,January,Casa 2 rec,2.0,2450.0,2009.48,440.52,650.0,6.7
2026-01-10,1,January,Emily House,1.0,1400.0,1148.29,251.71,500.0,3.3
2026-01-09,1,January,Casa Super Comoda,3.0,1120.0,918.62,201.38,0.0,10.0
2026-01-09,1,January,Casa Zoe,2.0,2756.0,2260.47,495.53,750.0,6.7
2026-01-09,1,January,Casa 5min USA,1.0,1700.0,1394.25,305.75,750.0,3.3
2026-01-09,1,January,Casa del Parque,2.0,2473.68,2028.95,444.73,750.0,6.7
2026-01-09,1,January,Casa de Ineva,2.0,2736.65,2244.6,492.05,700.0,6.7
2026-01-09,1,January,Casa Super Comoda,3.0,3050.0,2501.61,548.39,850.0,10.0
2026-01-09,1,January,Casa 3min USA,1.0,2300.0,1886.46,413.54,750.0,3.3
2026-01-08,1,January,Casa de las Flores,2.0,2920.0,2394.98,525.02,750.0,6.7
2026-01-07,1,January,Casa 3min USA,2.0,2781.12,2280.98,500.14,750.0,6.7
2026-01-07,1,January,Casa Alegre,10.0,10378.5,8512.39,1866.11,850.0,33.3
2026-01-07,1,January,Casa Zoe,1.0,1634.0,1340.26,293.74,750.0,3.3
2026-01-05,1,January,Casa 2 rec,4.0,4480.0,3674.5,805.5,850.0,13.3
2026-01-05,1,January,Casa Alegre,1.0,1680.0,1378.04,301.96,650.0,3.3
2026-01-04,1,January,Emily House,2.0,2280.0,1870.04,409.96,500.0,6.7
2026-01-03,1,January,Casa Zoe,2.0,2750.0,2255.55,494.45,750.0,6.7
2026-01-03,1,January,Casa de Rigo,1.0,1650.0,1353.33,296.67,650.0,3.3
2026-01-03,1,January,Casa 2 rec,1.0,1550.0,1271.27,278.73,650.0,3.3
2026-01-03,1,January,Casa de Ineva,1.0,1800.0,1476.41,323.59,700.0,3.3
2026-01-02,1,January,Casa Super Comoda,6.0,7460.0,6118.63,1341.37,850.0,20.0
2026-01-02,1,January,Casa del Parque,2.0,2750.0,2255.49,494.51,750.0,6.7
2026-01-02,1,January,Casa Alegre,3.0,3850.0,3157.74,692.26,850.0,10.0
2026-01-02,1,January,Casa de las Flores,2.0,2760.0,2263.75,496.25,750.0,6.7
2025-12-30,12,December,Casa Zoe,4.0,1000.0,820.11,179.89,0.0,13.3
2025-12-31,12,December,Casa de las Flores,2.0,2750.0,2255.54,494.46,750.0,6.7
2025-12-31,12,December,Casa de Rigo,2.0,2650.0,2173.51,476.49,650.0,6.7
2025-12-31,12,December,Emily House,4.0,4460.0,3658.06,801.94,850.0,13.3
2025-12-29,12,December,Casa 2 rec,5.0,1800.0,1476.36,323.64,0.0,16.7
2026-03-30,3,March,Casa de Rigo,5.0,5850.0,4798.17,1051.83,850.0,16.7
2026-03-30,3,March,Emily House,5.0,5420.0,4445.48,974.52,850.0,16.7
2026-03-30,3,March,Casa Zoe,5.0,6820.0,5593.71,1226.29,850.0,16.7
2026-03-30,3,March,Casa del Parque,5.0,6850.0,5618.37,1231.63,850.0,16.7
2026-03-30,3,March,Casa 5min USA,5.0,5830.0,4781.77,1048.23,850.0,16.7
2026-03-30,3,March,Casa 5min CAS,2.0,2450.0,2009.49,440.51,650.0,6.7
2026-03-30,3,March,Casa de Ineva,5.0,6660.0,5462.53,1197.47,850.0,16.7
2026-03-30,3,March,Casa Super Comoda,3.0,4150.0,3403.83,746.17,850.0,10.0
2026-03-30,3,March,Casa Alegre,5.0,5799.84,4757.02,1042.82,850.0,16.7
